id,pondera_dem,fecha,region,sexo,edad,p1,p1otros,p2,p2_1,p2_1otro,p2_2,p3,p4,p5,p6horas,p6minutos,horas_radio,minutos_radio,p7_1,p7_2,p7_3,p7_4,p7_5,p8a,p8b,p8c,p8d,p8e,p8f,p8g,p8otros,p9,p10,p10_1,p10_1otr,p10_2,p11,p12horas,p12minutos,horas_musica,minutos_musica,p13_1,p13_2,p13_3,p13_4,p13_5,p13_6,p13_7,p13_8,p13_9,p14_1,p14_2,p14_3,p14_4,p14_5,p14_6,p14_7,p14_8,p14_9,p14_10,p14_11,p14_12,p14_13,p14_14,p15,p16,p17_1,p17_2,p18a,p18b,p18c,p18d,p18e,p18f,p18g,p18otros,
1,8608,23/5/2017,CENTRO,Varón,19,"LA FORMA DE PENSAR, IDEOLOGIA, VALORES", ,SI,, ,NA,SI,ALGUNAS VECES AL MES,FM,1,0,1,0,ALGUNAS VECES AL MES,NUNCA,NUNCA,ALGUNAS VECES AL MES,NUNCA,MUSICALES,ACTUALIDAD / MAGAZINE,NA,NA,NA,NA,NA, ,1,SI,, ,NA,ALGUNOS DIAS POR SEMANA,1,30,1,30,NUNCA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,6 canciones,SI,ALGUNOS DIAS POR SEMANA,ALGUNA VEZ AL AÑO O MENOS,YOUTUBE,NA,NA,NA,NA,NA,
2,2869,10/5/2017,CENTRO,Varón,24,"EL ARTE, LO CULTO", ,SI,, ,NA,NO,ALGUNOS DIAS POR SEMANA,FM,1,0,1,0,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,INFORMATIVOS / NOTICIEROS,MUSICALES,CULTURALES,NA,NA,NA,NA, ,0,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,3,0,3,0,NUNCA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DIAS,ALGUNA VEZ CADA 3 MESES,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,CASI NUNCA,HABITUALMENTE,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,CASI NUNCA,CASI NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,9 canciones,SI,TODOS O CASI TODOS LOS DIAS,ALGUNOS DIAS POR SEMANA,GOOGLE PLAY,YOUTUBE,NA,NA,NA,NA,NA,
3,8765,22/5/2017,CENTRO,Varón,30,"LA FORMA DE PENSAR, IDEOLOGIA, VALORES", ,SI,, ,NA,NO,ALGUNOS DIAS POR SEMANA,FM,1,30,1,30,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,INFORMATIVOS / NOTICIEROS,ACTUALIDAD / MAGAZINE,NA,NA,NA,NA,NA, ,2,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,1,0,1,0,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,CASI NUNCA,DE VEZ EN CUANDO,HABITUALMENTE,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,CASI NUNCA,NUNCA,6 canciones,SI,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,SPOTIFY,NA,NA,NA,NA,NA,
4,12838,9/5/2017,CENTRO,Varón,53,MUSICA, ,SI,, ,NA,SI,TODOS O CASI TODOS LOS DIAS,AMBAS POR IGUAL,3,0,3,0,TODOS O CASI TODOS LOS DIAS,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DIAS,NUNCA,INFORMATIVOS / NOTICIEROS,ACTUALIDAD / MAGAZINE,NA,NA,NA,NA,NA, ,2,SI,, ,NA,ALGUNA VEZ CADA 3 MESES,1,0,1,0,NUNCA,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ CADA 3 MESES,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,HABITUALMENTE,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,9 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,
5,20223,22/5/2017,CENTRO,Varón,70,"LA FORMA DE PENSAR, IDEOLOGIA, VALORES", ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,AMBAS POR IGUAL,3,0,3,0,TODOS O CASI TODOS LOS DIAS,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,INFORMATIVOS / NOTICIEROS,ACTUALIDAD / MAGAZINE,NA,NA,NA,NA,NA, ,1,SI,, ,NA,NS/NC,1,0,1,0,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,10 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,
6,5474,9/5/2017,CENTRO,Mujer,15,"LA TRADICION, LA HISTORIA", ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,FM,2,0,2,0,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,INFORMATIVOS / NOTICIEROS,MUSICALES,NA,NA,NA,NA,NA, ,1,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,2,0,2,0,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,HABITUALMENTE,HABITUALMENTE,NUNCA,DE VEZ EN CUANDO,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,3 canciones,SI,TODOS O CASI TODOS LOS DIAS,ALGUNOS DIAS POR SEMANA,YOUTUBE,NA,NA,NA,NA,NA,NA,
7,9999,29/5/2017,CENTRO,Mujer,25,"LA TRADICION, LA HISTORIA", ,SI,, ,NA,SI,TODOS O CASI TODOS LOS DIAS,FM,2,30,2,30,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,NUNCA,MUSICALES,ACTUALIDAD / MAGAZINE,NA,NA,NA,NA,NA, ,NS/NC,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,1,0,1,0,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,HABITUALMENTE,HABITUALMENTE,NUNCA,NUNCA,9 canciones,SI,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,YOUTUBE,CIENRADIOS,SOUNDCLOUD,OTROS,NA,NA,NA,
8,4072,9/5/2017,CENTRO,Mujer,40,"LA TRADICION, LA HISTORIA", ,SI,, ,NA,SI,TODOS O CASI TODOS LOS DIAS,FM,4,0,4,0,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,ALGUNAS VECES AL MES,NUNCA,INFORMATIVOS / NOTICIEROS,MUSICALES,ACTUALIDAD / MAGAZINE,NA,NA,NA,NA, ,1,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,2,0,2,0,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNA VEZ CADA 3 MESES,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,DE VEZ EN CUANDO,HABITUALMENTE,HABITUALMENTE,HABITUALMENTE,HABITUALMENTE,NUNCA,NUNCA,NUNCA,HABITUALMENTE,5 canciones,SI,TODOS O CASI TODOS LOS DIAS,ALGUNAS VECES AL MES,YOUTUBE,NA,NA,NA,NA,NA,NA,
9,2977,10/5/2017,CENTRO,Mujer,53,TEATRO, ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,FM,4,0,4,0,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,MUSICALES,NA,NA,NA,NA,NA,NA, ,3,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,4,0,4,0,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,CASI NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,HABITUALMENTE,3 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,
10,35896,22/5/2017,CENTRO,Mujer,66,"LOS MODALES, EL BUEN COMPORTAMIENTO", ,NO,PORQUE NO TIENE EQUIPOS DE RADIO, ,NO,NA,NA,NA,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NS/NC,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,2,0,2,0,ALGUNOS DIAS POR SEMANA,NUNCA,TODOS O CASI TODOS LOS DIAS,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,5 canciones,SI,TODOS O CASI TODOS LOS DIAS,ALGUNA VEZ CADA 3 MESES,YOUTUBE,NA,NA,NA,NA,NA,NA,
